timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1034.017,-856.445,-484.375,-843.750,-605.957,-729.980,0
1034.021,-1000.000,103.027,-660.156,-1000.000,-487.305,0
1034.025,-51.270,-407.227,-785.156,-147.949,-444.824,0
1034.029,-835.449,-1000.000,-999.023,-843.750,-840.332,0
1034.032,-110.840,-664.551,-873.047,31.250,-852.051,0
1034.036,-1000.000,65.918,-625.488,-1000.000,-504.883,0
1034.040,-189.941,-269.531,-743.164,-369.141,-574.707,0
1034.044,-804.199,-1000.000,-992.676,-861.816,-879.395,0
1034.048,276.367,-813.965,-918.457,287.598,-873.047,0
1034.052,-1000.000,-91.797,-649.414,-1000.000,-363.770,0
1034.056,-604.004,-107.910,-668.457,-806.152,-297.363,0
1034.060,-944.336,-842.773,-945.801,791.504,-770.996,0
1034.064,340.820,-984.375,-956.543,658.203,-712.891,0
1034.068,-1000.000,-362.305,-773.438,-884.766,-450.195,0
1034.072,-1000.000,-16.602,-705.078,-1000.000,-488.281,0
1034.075,304.199,-598.633,-883.301,130.859,-757.812,0
1034.079,834.961,-1000.000,-996.582,-925.293,-957.520,0
1034.083,-732.910,-562.988,-833.008,-343.750,-657.715,0
1034.087,-1000.000,52.734,-638.672,-1000.000,-411.133,0
1034.091,-160.156,-411.133,-791.504,-175.781,-655.273,0
1034.095,-848.145,-1000.000,-1000.000,-820.312,-1000.000,0
1034.099,-17.090,-695.312,-833.008,174.805,-621.582,0
1034.103,-1000.000,61.035,-533.691,-1000.000,-111.328,0
1034.107,-276.855,-191.895,-650.391,-514.648,-260.742,0
1034.111,-827.637,-985.352,-972.168,-923.828,-840.820,0
1034.114,278.320,-845.703,-936.035,291.504,-910.156,0
1034.118,-1000.000,-84.473,-583.008,-1000.000,-82.031,0
1034.122,-775.879,-1.953,-584.473,-1000.000,-45.898,0
1034.126,871.094,-758.789,-928.711,490.234,-801.270,0
1034.130,458.984,-1000.000,-986.328,650.391,-965.332,0
1034.134,-999.023,-363.281,-769.531,-879.883,-484.375,0
1034.138,-1000.000,78.125,-624.512,-1000.000,-157.715,0
1034.142,148.926,-511.719,-851.562,-79.590,-646.973,0
1034.146,927.734,-1000.000,-1000.000,-992.676,-974.609,0
1034.150,-584.961,-575.684,-833.496,-332.520,-552.246,0
1034.154,-1000.000,117.188,-592.285,-1000.000,-98.145,0
1034.157,-167.969,-311.035,-706.543,-251.465,-83.984,0
1034.161,-831.055,-1000.000,-993.164,-871.582,-809.082,0
1034.165,92.773,-719.238,-896.973,79.102,-790.039,0
1034.169,-1000.000,50.781,-638.672,-1000.000,-383.301,0
1034.173,-378.418,-105.469,-694.336,-810.059,-395.020,0
1034.177,-856.445,-916.016,-960.449,746.094,-784.180,0
1034.181,283.691,-869.629,-951.660,321.777,-887.695,0
1034.185,-1000.000,-114.258,-702.148,-1000.000,-481.445,0
1034.189,-875.000,80.566,-649.414,-1000.000,-375.000,0
1034.193,737.305,-643.555,-892.578,187.012,-660.645,0
1034.197,594.727,-1000.000,-997.559,526.855,-896.484,0
1034.200,-933.105,-374.023,-817.871,-923.828,-521.973,0
1034.204,-1000.000,141.602,-671.875,-1000.000,-283.203,0
1034.208,18.066,-439.941,-846.680,-117.676,-666.992,0
1034.212,-968.262,-1000.000,-999.512,966.309,-796.387,0
1034.216,-390.625,-608.887,-894.043,-374.023,-451.660,0
1034.220,-1000.000,129.395,-674.805,-1000.000,-198.730,0
1034.224,-173.340,-262.207,-770.996,-480.469,-319.336,0
1034.228,-821.289,-1000.000,-996.094,-997.070,-881.348,0
1034.232,171.387,-748.535,-920.898,104.492,-678.711,0
1034.236,-1000.000,30.762,-680.664,-1000.000,-292.480,0
1034.239,-520.996,-16.602,-663.574,-984.375,-94.238,0
1034.243,-914.551,-840.332,-946.777,449.219,-609.863,0
1034.247,285.156,-895.508,-938.477,328.613,-758.301,0
1034.251,-1000.000,-104.980,-604.492,-1000.000,124.023,0
1034.255,-1000.000,146.484,-591.309,-1000.000,-17.090,0
1034.259,430.176,-574.707,-883.789,9.277,-690.430,0
1034.263,667.480,-1000.000,-1000.000,457.520,-955.566,0
1034.267,-890.137,-419.434,-796.875,-909.668,-396.973,0
1034.271,-1000.000,157.227,-619.629,-1000.000,-60.059,0
1034.275,-134.277,-404.785,-820.801,-183.594,-510.254,0
1034.279,-917.480,-1000.000,-1000.000,784.180,-971.680,0
1034.282,-221.680,-645.020,-876.953,-569.336,-553.711,0
1034.286,-1000.000,92.285,-617.676,-1000.000,65.430,0
1034.290,-216.309,-241.699,-734.375,-707.031,-86.426,0
